Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
15/11/2025,ORATORIO SAN TOMASO,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",7,andata,FIGC
21/03/2026,LALLIO CALCIO,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,7,ritorno,FIGC
15/11/2025,TREALBE CALCIO A.S.D.,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,7,andata,FIGC
21/03/2026,EXCELSIOR SEZ. CALCIO ASD,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",7,ritorno,FIGC
22/11/2025,EXCELSIOR SEZ. CALCIO ASD,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",8,andata,FIGC
28/03/2026,BERGAMO FC 1971 ASD,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,8,ritorno,FIGC
22/11/2025,GRASSOBBIO,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",8,andata,FIGC
28/03/2026,TREALBE CALCIO A.S.D.,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,8,ritorno,FIGC
22/11/2025,LALLIO CALCIO,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,8,andata,FIGC
28/03/2026,CELADINA,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,8,ritorno,FIGC
22/11/2025,MALPENSATA CAMPAGNOLA,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,8,andata,FIGC
28/03/2026,ACC.CALCIO A.V. BREMBANA,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,8,ritorno,FIGC
22/11/2025,PONTERANICA,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,8,andata,FIGC
28/03/2026,ORATORIO SAN TOMASO,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",8,ritorno,FIGC
29/11/2025,ACC.CALCIO A.V. BREMBANA,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,9,andata,FIGC
11/04/2026,LALLIO CALCIO,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,9,ritorno,FIGC
29/11/2025,BERGAMO FC 1971 ASD,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,9,andata,FIGC
11/04/2026,GRASSOBBIO,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",9,ritorno,FIGC
29/11/2025,CELADINA,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,9,andata,FIGC
11/04/2026,PONTERANICA,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,9,ritorno,FIGC
29/11/2025,ORATORIO SAN TOMASO,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",9,andata,FIGC
11/04/2026,EXCELSIOR SEZ. CALCIO ASD,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",9,ritorno,FIGC
29/11/2025,TREALBE CALCIO A.S.D.,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,9,andata,FIGC
11/04/2026,MALPENSATA CAMPAGNOLA,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,9,ritorno,FIGC
