Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
22/11/2025,PONTISOLA CALCIO,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,8,andata,FIGC
21/03/2026,A.C. PONTE S.P. - MAPSQ.B,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,8,ritorno,FIGC
21/03/2026,TRITIUM CALCIO 1908 A RL,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,8,ritorno,FIGC
21/03/2026,SCANZOROSCIATE CALCIO ASD,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,8,ritorno,FIGC
21/03/2026,REAL CALEPINA F.C. SSDARL,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,8,ritorno,FIGC
21/03/2026,UESSE SARNICO 1908 SQ.B,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,8,ritorno,FIGC
29/11/2025,A.C. PONTE S.P. - MAPSQ.B,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,9,andata,FIGC
29/11/2025,REAL CALEPINA F.C. SSDARL,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,9,andata,FIGC
29/11/2025,SCANZOROSCIATE CALCIO ASD,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,9,andata,FIGC
29/11/2025,TRITIUM CALCIO 1908 A RL,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,9,andata,FIGC
29/11/2025,UESSE SARNICO 1908 SQ.B,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,9,andata,FIGC
28/03/2026,PONTISOLA CALCIO,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,9,ritorno,FIGC
28/03/2026,CARAVAGGIO SRL,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,9,ritorno,FIGC
28/03/2026,ATALANTA BERGAMASCA C.SRL,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,9,ritorno,FIGC
28/03/2026,G.S. VERTOVESE SSDARL,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,9,ritorno,FIGC
28/03/2026,CALCIO GORLE A.S.D.,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,9,ritorno,FIGC
